#Gene_Name	#Uniprot_ID	label
DEG20011072	Q12181	1
DEG20011073	P32855	1
DEG20011074	Q12004	1
DEG20011075	Q06819	1
DEG20011076	Q06822	1
DEG20011077	P29055	1
DEG20011078	P20424	1
DEG20011079	Q06835	1
DEG20011080	P30656	1
DEG20011081	P39521	1
DEG20011082	Q06096	1
DEG20011083	Q06102	1
DEG20011084	Q06103	1
DEG20011085	P07703	1
DEG20011086	P32328	1
DEG20011087	Q06106	1
DEG20011088	P06197	1
DEG20011089	P30283	1
DEG20011090	P49573	1
DEG20011091	Q06493	1
DEG20011092	Q06505	1
DEG20011093	Q06506	1
DEG20011094	Q06511	1
DEG20011095	Q06512	1
DEG20011096	P23293	1
DEG20011097	P54791	1
DEG20011098	P06780	1
DEG20011099	Q06213	1
DEG20011100	Q06214	1
DEG20011101	P24482	1
DEG20011102	P20133	1
DEG20011103	P20053	1
DEG20011104	Q06624	1
DEG20011105	P15303	1
DEG20011106	P54999	1
DEG20011107	P14020	1
DEG20011108	P39933	1
DEG20011109	P20435	1
DEG20011110	P32349	1
